ligand,target,activity,minuslog_activity
CHEMBL103667,CHEMBL5331,3700.0,5.431798275933005
CHEMBL103667,CHEMBL5364,1000.0,6.0
CHEMBL103667,CHEMBL5547,1000.0,6.0
CHEMBL103667,CHEMBL5579,2100.0,5.6777807052660805
CHEMBL103667,CHEMBL5608,190.0,6.721246399047171
CHEMBL103667,CHEMBL5615,1200.0,5.920818753952375
CHEMBL103667,CHEMBL5627,1400.0,5.853871964321762
CHEMBL103667,CHEMBL5684,1900.0,5.721246399047171
CHEMBL103667,CHEMBL5719,220.0,6.657577319177793
CHEMBL103667,CHEMBL5810,9800.0,5.008773924307505
CHEMBL103667,CHEMBL5976,58.0,7.236572006437063
CHEMBL103667,CHEMBL6002,200.0,6.698970004336019
CHEMBL103667,CHEMBL6166,90.0,7.045757490560675
CHEMBL104,CHEMBL1250402,3000.0,5.522878745280337
CHEMBL104,CHEMBL1835,14.0,7.853871964321762
CHEMBL104,CHEMBL1978,1.8,8.744727494896694
CHEMBL104,CHEMBL2047,3240.0,5.489454989793388
CHEMBL104,CHEMBL240,3019.95,5.5200002474083645
CHEMBL104,CHEMBL2414,1600.0,5.795880017344075
CHEMBL104,CHEMBL3522,81.5,7.088842391260023
CHEMBL104,CHEMBL3849,130.0,6.886056647693163
CHEMBL104,CHEMBL4305,360.0,6.443697499232713
CHEMBL104,CHEMBL5503,690.0,6.161150909262744
CHEMBL1042,CHEMBL1977,0.21,9.67778070526608
CHEMBL1042,CHEMBL5845,400.0,6.3979400086720375
CHEMBL1043,CHEMBL2439,420.0,6.376750709602099
CHEMBL1043,CHEMBL3371,183.0,6.73754891026957
CHEMBL105060,CHEMBL2327,5.5,8.259637310505756
CHEMBL1054,CHEMBL205,91.0,7.040958607678906
CHEMBL1054,CHEMBL2326,7.9,8.102372908709558
CHEMBL1054,CHEMBL261,345.0,6.462180904926726
CHEMBL1054,CHEMBL3025,2459.0,5.609241471261283
CHEMBL1054,CHEMBL3242,312.0,6.505845405981558
CHEMBL1054,CHEMBL3510,3450.0,5.462180904926726
CHEMBL1054,CHEMBL3594,87.0,7.060480747381382
CHEMBL1054,CHEMBL3729,449.0,6.347753658996677
CHEMBL1054,CHEMBL3969,134.0,6.872895201635193
CHEMBL1054,CHEMBL4789,763.0,6.117475462045119
CHEMBL105442,CHEMBL3587,130.0,6.886056647693163
CHEMBL105442,CHEMBL3629,17.0,7.769551078621726
CHEMBL1055,CHEMBL205,677.0,6.169411331314856
CHEMBL1055,CHEMBL2326,2.8,8.55284196865778
CHEMBL1055,CHEMBL261,348.0,6.458420756053419
CHEMBL1055,CHEMBL3025,1347.0,5.870632404277014
CHEMBL1055,CHEMBL3242,4.5,8.346787486224656
CHEMBL1055,CHEMBL3510,4130.0,5.384049948343599
CHEMBL1055,CHEMBL3594,23.0,7.638272163982407
CHEMBL1055,CHEMBL3729,196.0,6.707743928643524
CHEMBL1055,CHEMBL3969,9.0,8.045757490560675
CHEMBL1055,CHEMBL4789,917.0,6.037630664329979
CHEMBL106,CHEMBL340,8000.0,5.096910013008056
CHEMBL106,CHEMBL3622,8200.0,5.086186147616283
CHEMBL1060,CHEMBL3729,9800.0,5.008773924307505
CHEMBL1062,CHEMBL3305,100.0,7.0
CHEMBL1069,CHEMBL227,3.0,8.522878745280337
CHEMBL107,CHEMBL2147,4300.0,5.366531544420414
CHEMBL1071,CHEMBL221,856.0,6.0675262353228465
CHEMBL1071,CHEMBL230,110.0,6.958607314841775
CHEMBL107367,CHEMBL235,217.0,6.663540266151471
CHEMBL107367,CHEMBL239,2870.0,5.542118103266008
CHEMBL107400,CHEMBL1860,3.0,8.522878745280337
CHEMBL107400,CHEMBL1947,18.0,7.7447274948966935
CHEMBL1076347,CHEMBL1968,120.0,6.920818753952375
CHEMBL1076347,CHEMBL2409,13.0,7.886056647693163
CHEMBL1077,CHEMBL221,8.481,8.071552936790818
CHEMBL1078178,CHEMBL2835,11.0,7.958607314841775
CHEMBL1078178,CHEMBL2971,41.0,7.3872161432802645
CHEMBL1079,CHEMBL1867,86.0,7.0655015487564325
CHEMBL1079,CHEMBL1916,1231.0,5.909741947068683
CHEMBL1079,CHEMBL3923,28.31,7.548060130634897
CHEMBL1079175,CHEMBL4282,10.0,8.0
CHEMBL1079593,CHEMBL2148,3.0,8.522878745280337
CHEMBL1079593,CHEMBL2835,58.0,7.236572006437063
CHEMBL1079593,CHEMBL2971,26.0,7.585026652029182
CHEMBL1079742,CHEMBL1824,1890.0,5.723538195826756
CHEMBL1079742,CHEMBL203,420.0,6.376750709602099
CHEMBL1082407,CHEMBL1871,5600.0,5.251811972993799
CHEMBL1082508,CHEMBL3371,0.1995,9.700057099977233
CHEMBL1082723,CHEMBL256,8300.0,5.080921907623926
CHEMBL1083390,CHEMBL214,2370.0,5.6252516539898965
CHEMBL1083390,CHEMBL217,997.0,6.001304841688344
CHEMBL1083390,CHEMBL224,26.0,7.585026652029182
CHEMBL1083390,CHEMBL3371,10.0,8.0
CHEMBL1083659,CHEMBL4792,138.0,6.860120913598763
CHEMBL1083659,CHEMBL5113,199.0,6.701146923590294
CHEMBL1084546,CHEMBL2695,1.5,8.823908740944319
CHEMBL1084546,CHEMBL5469,13.0,7.886056647693163
CHEMBL1084617,CHEMBL224,4.9,8.309803919971486
CHEMBL1086997,CHEMBL3761,300.0,6.522878745280337
CHEMBL10878,CHEMBL1945,1.4,8.853871964321762
CHEMBL10878,CHEMBL1946,0.3802,9.419987887470576
CHEMBL10878,CHEMBL225,708.0,6.149966742310231
CHEMBL1088,CHEMBL240,323.59,6.490004907986601
CHEMBL1088750,CHEMBL260,4.5,8.346787486224656
CHEMBL1088751,CHEMBL260,17.4,7.7594507517174005
CHEMBL1088752,CHEMBL260,100.0,7.0
CHEMBL1089,CHEMBL1951,238.0,6.623423042943488
CHEMBL1089,CHEMBL2039,143.0,6.844663962534939
CHEMBL1089,CHEMBL3437,19.95,7.700057099977233
CHEMBL1089318,CHEMBL2023,10.0,8.0
CHEMBL1090,CHEMBL284,62.0,7.2076083105017466
CHEMBL1090089,CHEMBL2276,5420.0,5.266000713461613
CHEMBL1090089,CHEMBL260,14.0,7.853871964321762
CHEMBL1090479,CHEMBL2185,5.0,8.301029995663981
CHEMBL1090479,CHEMBL3935,6.5,8.187086643357144
CHEMBL1090479,CHEMBL4722,1259.0,5.899974269892137
CHEMBL1091644,CHEMBL1957,24.0,7.619788758288394
CHEMBL1091644,CHEMBL1981,126.0,6.8996294548824375
CHEMBL1091644,CHEMBL4302,2090.0,5.679853713888946
CHEMBL1091644,CHEMBL5393,104.0,6.982966660701219
CHEMBL1093059,CHEMBL4481,0.2,9.698970004336019
CHEMBL1093458,CHEMBL1978,6100.0,5.214670164989233
CHEMBL1094636,CHEMBL5083,1300.0,5.886056647693163
CHEMBL1094636,CHEMBL5366,15.49,7.809948582240794
CHEMBL1094636,CHEMBL6142,446.68,6.350003492533959
CHEMBL1094636,CHEMBL6154,5130.0,5.289882634888183
CHEMBL1094636,CHEMBL6164,2355.0,5.628009088535085
CHEMBL1094785,CHEMBL210,3.19,8.496209316942819
CHEMBL109480,CHEMBL1075132,1496.0,5.825068406471558
CHEMBL109480,CHEMBL1824,31.0,7.508638306165727
